Time,Frequencies (GHz),Data (dBm)
0:0,13.998000000000001,-60.832001
0:0,13.998909090909091,-60.743999
0:0,13.999818181818183,-60.568001
0:0,14.000727272727273,-60.756001
0:0,14.001636363636365,-60.807999
0:0,14.002545454545455,-59.348
0:0,14.003454545454547,-59.967999
0:0,14.004363636363637,-59.0
0:0,14.005272727272729,-59.695999
0:0,14.006181818181819,-60.855999
0:0,14.00709090909091,-59.743999
0:0,14.008000000000001,-58.792
0:0,14.008909090909093,-57.619999
0:0,14.009818181818183,-58.188
0:0,14.010727272727275,-59.223999
0:0,14.011636363636365,-60.852001
0:0,14.012545454545455,-59.931999
0:0,14.013454545454547,-58.296001
0:0,14.014363636363637,-59.299999
0:0,14.015272727272729,-57.896
0:0,14.016181818181819,-60.816002
0:0,14.01709090909091,-60.900002
0:0,14.018,-59.416
0:0,14.018909090909093,-58.888
0:0,14.019818181818183,-59.312
0:0,14.020727272727274,-58.167999
0:0,14.021636363636365,-60.832001
0:0,14.022545454545456,-60.956001
0:0,14.023454545454547,-58.784
0:0,14.024363636363637,-58.259998
0:0,14.025272727272728,-59.472
0:0,14.026181818181819,-58.136002
0:0,14.02709090909091,-60.992001
0:0,14.028,-61.060001
0:0,14.028909090909092,-58.688
0:0,14.029818181818182,-58.108002
0:0,14.030727272727274,-58.363998
0:0,14.031636363636364,-59.304001
0:0,14.032545454545456,-61.172001
0:0,14.033454545454546,-59.459999
0:0,14.034363636363638,-58.172001
0:0,14.035272727272728,-59.363998
0:0,14.03618181818182,-57.591999
0:0,14.03709090909091,-58.812
0:0,14.038,-61.188
0:0,14.038909090909092,-60.396
0:0,14.039818181818182,-59.52
0:0,14.040727272727274,-60.891998
0:0,14.041636363636364,-60.995998
0:0,14.042545454545456,-61.144001
0:0,14.043454545454546,-61.099998
0:0,14.044363636363638,-61.116001
0:0,14.045272727272728,-61.080002
0:0,14.04618181818182,-61.091999
0:0,14.04709090909091,-60.731998
0:0,14.048000000000002,-61.127998
0:0,14.048909090909092,-61.164001
0:0,14.049818181818184,-61.183998
0:0,14.050727272727274,-61.071999
0:0,14.051636363636364,-61.136002
0:0,14.052545454545456,-60.891998
0:0,14.053454545454546,-61.164001
0:0,14.054363636363638,-61.16
0:0,14.055272727272728,-61.084
0:0,14.05618181818182,-60.855999
0:0,14.05709090909091,-60.759998
0:0,14.058000000000002,-60.936001
0:0,14.058909090909092,-61.108002
0:0,14.059818181818184,-61.088001
0:0,14.060727272727274,-61.112
0:0,14.061636363636365,-61.068001
0:0,14.062545454545456,-61.116001
0:0,14.063454545454547,-61.007999
0:0,14.064363636363638,-60.824001
0:0,14.065272727272728,-60.616001
0:0,14.06618181818182,-60.812
0:0,14.06709090909091,-60.748001
0:0,14.068000000000001,-60.875999
0:0,14.068909090909091,-61.043999
0:0,14.069818181818183,-60.860001
0:0,14.070727272727273,-61.076
0:0,14.071636363636365,-61.060001
0:0,14.072545454545455,-61.071999
0:0,14.073454545454547,-61.007999
0:0,14.074363636363637,-60.928001
0:0,14.07527272727273,-61.051998
0:0,14.07618181818182,-61.015999
0:0,14.07709090909091,-61.004002
0:0,14.078000000000001,-61.084
0:0,14.078909090909091,-60.872002
0:0,14.079818181818183,-61.040001
0:0,14.080727272727273,-61.088001
0:0,14.081636363636365,-61.063999
0:0,14.082545454545455,-61.099998
0:0,14.083454545454547,-61.012001
0:0,14.084363636363637,-61.084
0:0,14.085272727272729,-61.084
0:0,14.086181818181819,-61.124001
0:0,14.08709090909091,-61.068001
0:0,14.088000000000001,-61.132
0:0,14.088909090909093,-61.043999
0:0,14.089818181818183,-61.076
0:0,14.090727272727273,-61.139999
0:0,14.091636363636365,-61.071999
0:0,14.092545454545455,-61.068001
0:0,14.093454545454547,-61.104
0:0,14.094363636363637,-61.076
0:0,14.095272727272729,-61.096001
0:0,14.096181818181819,-60.992001
0:0,14.09709090909091,-61.088001
0:0,14.098,-61.051998
0:0,14.098909090909093,-61.088001
0:0,14.099818181818183,-60.972
0:0,14.100727272727275,-60.875999
0:0,14.101636363636365,-60.796001
0:0,14.102545454545456,-60.956001
0:0,14.103454545454547,-61.16
0:0,14.104363636363637,-61.152
0:0,14.105272727272729,-61.007999
0:0,14.106181818181819,-61.188
0:0,14.10709090909091,-61.139999
0:0,14.108,-61.099998
0:0,14.108909090909092,-61.16
0:0,14.109818181818182,-60.812
0:0,14.110727272727274,-60.931999
0:0,14.111636363636364,-61.080002
0:0,14.112545454545456,-60.860001
0:0,14.113454545454546,-60.959999
0:0,14.114363636363638,-61.188
0:0,14.115272727272728,-61.012001
0:0,14.11618181818182,-60.984001
0:0,14.11709090909091,-60.928001
0:0,14.118,-61.076
0:0,14.118909090909092,-60.799999
0:0,14.119818181818182,-60.827999
0:0,14.120727272727274,-61.071999
0:0,14.121636363636364,-61.127998
0:0,14.122545454545456,-61.060001
0:0,14.123454545454546,-61.383999
0:0,14.124363636363638,-61.383999
0:0,14.125272727272728,-61.411999
0:0,14.12618181818182,-61.456001
0:0,14.12709090909091,-61.383999
