Time,Frequencies (GHz),Data (dBm)
0:6,13.998000000000001,-64.136002
0:6,13.998909090909091,-64.188004
0:6,13.999818181818183,-64.188004
0:6,14.000727272727273,-64.239998
0:6,14.001636363636365,-64.239998
0:6,14.002545454545455,-64.211998
0:6,14.003454545454547,-64.012001
0:6,14.004363636363637,-64.152
0:6,14.005272727272729,-64.227997
0:6,14.006181818181819,-64.316002
0:6,14.00709090909091,-64.211998
0:6,14.008000000000001,-64.344002
0:6,14.008909090909093,-64.108002
0:6,14.009818181818183,-64.188004
0:6,14.010727272727275,-64.339996
0:6,14.011636363636365,-64.372002
0:6,14.012545454545455,-64.356003
0:6,14.013454545454547,-64.416
0:6,14.014363636363637,-64.459999
0:6,14.015272727272729,-64.388
0:6,14.016181818181819,-64.419998
0:6,14.01709090909091,-64.367996
0:6,14.018,-64.396004
0:6,14.018909090909093,-64.5
0:6,14.019818181818183,-64.475998
0:6,14.020727272727274,-64.447998
0:6,14.021636363636365,-64.188004
0:6,14.022545454545456,-64.356003
0:6,14.023454545454547,-64.447998
0:6,14.024363636363637,-64.447998
0:6,14.025272727272728,-64.440002
0:6,14.026181818181819,-64.412003
0:6,14.02709090909091,-64.360001
0:6,14.028,-64.396004
0:6,14.028909090909092,-64.403999
0:6,14.029818181818182,-64.400002
0:6,14.030727272727274,-64.379997
0:6,14.031636363636364,-64.407997
0:6,14.032545454545456,-64.379997
0:6,14.033454545454546,-64.328003
0:6,14.034363636363638,-64.351997
0:6,14.035272727272728,-64.375999
0:6,14.03618181818182,-64.348
0:6,14.03709090909091,-64.356003
0:6,14.038,-64.444
0:6,14.038909090909092,-64.487999
0:6,14.039818181818182,-64.452003
0:6,14.040727272727274,-64.528
0:6,14.041636363636364,-64.484001
0:6,14.042545454545456,-64.540001
0:6,14.043454545454546,-64.524002
0:6,14.044363636363638,-64.540001
0:6,14.045272727272728,-64.524002
0:6,14.04618181818182,-64.536003
0:6,14.04709090909091,-64.543999
0:6,14.048000000000002,-64.519997
0:6,14.048909090909092,-64.515999
0:6,14.049818181818184,-64.587997
0:6,14.050727272727274,-64.584
0:6,14.051636363636364,-64.456001
0:6,14.052545454545456,-64.596001
0:6,14.053454545454546,-64.587997
0:6,14.054363636363638,-64.612
0:6,14.055272727272728,-64.620003
0:6,14.05618181818182,-64.603996
0:6,14.05709090909091,-64.575996
0:6,14.058000000000002,-64.559998
0:6,14.058909090909092,-64.648003
0:6,14.059818181818184,-64.596001
0:6,14.060727272727274,-64.556
0:6,14.061636363636365,-64.524002
0:6,14.062545454545456,-64.124001
0:6,14.063454545454547,-61.02
0:6,14.064363636363638,-60.956001
0:6,14.065272727272728,-61.540001
0:6,14.06618181818182,-60.644001
0:6,14.06709090909091,-61.355999
0:6,14.068000000000001,-62.528
0:6,14.068909090909091,-60.108002
0:6,14.069818181818183,-60.563999
0:6,14.070727272727273,-61.911999
0:6,14.071636363636365,-61.096001
0:6,14.072545454545455,-61.119999
0:6,14.073454545454547,-61.627998
0:6,14.074363636363637,-60.268002
0:6,14.07527272727273,-62.271999
0:6,14.07618181818182,-61.132
0:6,14.07709090909091,-60.967999
0:6,14.078000000000001,-62.048
0:6,14.078909090909091,-60.664001
0:6,14.079818181818183,-60.248001
0:6,14.080727272727273,-61.911999
0:6,14.081636363636365,-61.34
0:6,14.082545454545455,-61.188
