Time,Frequencies (GHz),Data (dBm)
0:8,13.998000000000001,-63.624001
0:8,13.998909090909091,-62.428001
0:8,13.999818181818183,-58.487999
0:8,14.000727272727273,-60.276001
0:8,14.001636363636365,-55.551998
0:8,14.002545454545455,-53.396
0:8,14.003454545454547,-53.348
0:8,14.004363636363637,-53.504002
0:8,14.005272727272729,-52.563999
0:8,14.006181818181819,-55.647999
0:8,14.00709090909091,-56.051998
0:8,14.008000000000001,-52.936001
0:8,14.008909090909093,-53.436001
0:8,14.009818181818183,-54.931999
0:8,14.010727272727275,-52.599998
0:8,14.011636363636365,-59.02
0:8,14.012545454545455,-56.436001
0:8,14.013454545454547,-53.264
0:8,14.014363636363637,-56.804001
0:8,14.015272727272729,-55.740002
0:8,14.016181818181819,-54.119999
0:8,14.01709090909091,-59.872002
0:8,14.018,-54.68
0:8,14.018909090909093,-56.023998
0:8,14.019818181818183,-58.419998
0:8,14.020727272727274,-56.664001
0:8,14.021636363636365,-55.108002
0:8,14.022545454545456,-58.568001
0:8,14.023454545454547,-54.852001
0:8,14.024363636363637,-56.672001
0:8,14.025272727272728,-58.872002
0:8,14.026181818181819,-55.647999
0:8,14.02709090909091,-57.903999
0:8,14.028,-57.883999
0:8,14.028909090909092,-55.380001
0:8,14.029818181818182,-55.688
0:8,14.030727272727274,-58.203999
0:8,14.031636363636364,-56.655998
0:8,14.032545454545456,-57.860001
0:8,14.033454545454546,-57.799999
0:8,14.034363636363638,-55.408001
0:8,14.035272727272728,-55.208
0:8,14.03618181818182,-56.664001
0:8,14.03709090909091,-55.652
0:8,14.038,-58.287998
0:8,14.038909090909092,-57.576
0:8,14.039818181818182,-56.863998
0:8,14.040727272727274,-60.108002
0:8,14.041636363636364,-60.5
0:8,14.042545454545456,-60.127998
0:8,14.043454545454546,-60.619999
0:8,14.044363636363638,-59.467999
0:8,14.045272727272728,-59.799999
0:8,14.04618181818182,-61.063999
0:8,14.04709090909091,-59.459999
0:8,14.048000000000002,-59.632
0:8,14.048909090909092,-60.220001
0:8,14.049818181818184,-59.040001
0:8,14.050727272727274,-59.82
0:8,14.051636363636364,-61.307999
0:8,14.052545454545456,-59.299999
0:8,14.053454545454546,-60.967999
0:8,14.054363636363638,-60.700001
0:8,14.055272727272728,-59.060001
0:8,14.05618181818182,-60.243999
0:8,14.05709090909091,-58.931999
0:8,14.058000000000002,-59.132
0:8,14.058909090909092,-60.580002
0:8,14.059818181818184,-61.348
0:8,14.060727272727274,-61.212002
0:8,14.061636363636365,-61.048
0:8,14.062545454545456,-57.192001
0:8,14.063454545454547,-55.476002
0:8,14.064363636363638,-56.223999
0:8,14.065272727272728,-51.424
0:8,14.06618181818182,-53.919998
0:8,14.06709090909091,-52.507999
0:8,14.068000000000001,-51.220001
0:8,14.068909090909091,-51.84
0:8,14.069818181818183,-51.400002
0:8,14.070727272727273,-51.627998
0:8,14.071636363636365,-53.984001
0:8,14.072545454545455,-52.888
0:8,14.073454545454547,-52.007999
0:8,14.074363636363637,-52.848
0:8,14.07527272727273,-52.035999
0:8,14.07618181818182,-52.099998
0:8,14.07709090909091,-57.299999
0:8,14.078000000000001,-53.612
0:8,14.078909090909091,-52.380001
0:8,14.079818181818183,-53.807999
0:8,14.080727272727273,-51.883999
0:8,14.081636363636365,-51.852001
0:8,14.082545454545455,-56.228001
