Time,Frequencies (GHz),Data (dBm)
0:2,13.998000000000001,-61.043999
0:2,13.998909090909091,-60.967999
0:2,13.999818181818183,-60.956001
0:2,14.000727272727273,-61.043999
0:2,14.001636363636365,-60.411999
0:2,14.002545454545455,-60.560001
0:2,14.003454545454547,-59.919998
0:2,14.004363636363637,-60.056
0:2,14.005272727272729,-60.683998
0:2,14.006181818181819,-60.375999
0:2,14.00709090909091,-59.944
0:2,14.008000000000001,-60.948002
0:2,14.008909090909093,-60.0
0:2,14.009818181818183,-60.504002
0:2,14.010727272727275,-60.896
0:2,14.011636363636365,-60.816002
0:2,14.012545454545455,-60.316002
0:2,14.013454545454547,-60.776001
0:2,14.014363636363637,-60.515999
0:2,14.015272727272729,-60.82
0:2,14.016181818181819,-61.051998
0:2,14.01709090909091,-60.759998
0:2,14.018,-60.5
0:2,14.018909090909093,-60.723999
0:2,14.019818181818183,-60.292
0:2,14.020727272727274,-61.048
0:2,14.021636363636365,-61.032001
0:2,14.022545454545456,-60.728001
0:2,14.023454545454547,-60.967999
0:2,14.024363636363637,-60.896
0:2,14.025272727272728,-60.827999
0:2,14.026181818181819,-61.228001
0:2,14.02709090909091,-60.98
0:2,14.028,-60.639999
0:2,14.028909090909092,-60.967999
0:2,14.029818181818182,-61.023998
0:2,14.030727272727274,-61.068001
0:2,14.031636363636364,-61.287998
0:2,14.032545454545456,-61.175999
0:2,14.033454545454546,-61.02
0:2,14.034363636363638,-61.276001
0:2,14.035272727272728,-61.256001
0:2,14.03618181818182,-61.324001
0:2,14.03709090909091,-61.287998
0:2,14.038,-61.324001
0:2,14.038909090909092,-61.271999
0:2,14.039818181818182,-61.264
0:2,14.040727272727274,-61.327999
0:2,14.041636363636364,-61.316002
0:2,14.042545454545456,-61.316002
0:2,14.043454545454546,-61.276001
0:2,14.044363636363638,-61.307999
0:2,14.045272727272728,-61.324001
0:2,14.04618181818182,-61.327999
0:2,14.04709090909091,-61.271999
0:2,14.048000000000002,-61.327999
0:2,14.048909090909092,-61.312
0:2,14.049818181818184,-61.32
0:2,14.050727272727274,-61.332001
0:2,14.051636363636364,-61.251999
0:2,14.052545454545456,-61.352001
0:2,14.053454545454546,-61.327999
0:2,14.054363636363638,-61.304001
0:2,14.055272727272728,-61.296001
0:2,14.05618181818182,-61.327999
0:2,14.05709090909091,-61.243999
0:2,14.058000000000002,-61.287998
0:2,14.058909090909092,-61.296001
0:2,14.059818181818184,-61.259998
0:2,14.060727272727274,-61.292
0:2,14.061636363636365,-61.251999
0:2,14.062545454545456,-61.248001
0:2,14.063454545454547,-61.271999
0:2,14.064363636363638,-61.240002
0:2,14.065272727272728,-61.208
0:2,14.06618181818182,-61.043999
0:2,14.06709090909091,-61.015999
0:2,14.068000000000001,-61.192001
0:2,14.068909090909091,-60.944
0:2,14.069818181818183,-61.063999
0:2,14.070727272727273,-61.287998
0:2,14.071636363636365,-61.152
0:2,14.072545454545455,-61.152
0:2,14.073454545454547,-61.023998
0:2,14.074363636363637,-60.84
0:2,14.07527272727273,-61.028
0:2,14.07618181818182,-61.175999
0:2,14.07709090909091,-60.880001
0:2,14.078000000000001,-60.848
0:2,14.078909090909091,-60.703999
0:2,14.079818181818183,-60.916
0:2,14.080727272727273,-61.116001
0:2,14.081636363636365,-61.296001
0:2,14.082545454545455,-60.992001
0:2,14.083454545454547,-61.076
0:2,14.084363636363637,-60.952
0:2,14.085272727272729,-60.98
0:2,14.086181818181819,-61.175999
0:2,14.08709090909091,-60.844002
0:2,14.088000000000001,-61.063999
0:2,14.088909090909093,-61.264
0:2,14.089818181818183,-60.807999
0:2,14.090727272727273,-61.040001
0:2,14.091636363636365,-61.312
0:2,14.092545454545455,-61.16
0:2,14.093454545454547,-61.296001
0:2,14.094363636363637,-61.228001
0:2,14.095272727272729,-61.212002
0:2,14.096181818181819,-61.108002
0:2,14.09709090909091,-61.256001
0:2,14.098,-61.200001
0:2,14.098909090909093,-61.348
0:2,14.099818181818183,-61.279999
0:2,14.100727272727275,-61.243999
0:2,14.101636363636365,-61.327999
0:2,14.102545454545456,-61.296001
0:2,14.103454545454547,-61.324001
0:2,14.104363636363637,-61.292
0:2,14.105272727272729,-61.268002
0:2,14.106181818181819,-61.296001
0:2,14.10709090909091,-61.307999
0:2,14.108,-61.287998
0:2,14.108909090909092,-61.096001
0:2,14.109818181818182,-61.312
0:2,14.110727272727274,-60.807999
0:2,14.111636363636364,-60.768002
0:2,14.112545454545456,-61.419998
0:2,14.113454545454546,-61.375999
0:2,14.114363636363638,-61.192001
0:2,14.115272727272728,-61.344002
0:2,14.11618181818182,-61.012001
0:2,14.11709090909091,-61.056
0:2,14.118,-61.484001
0:2,14.118909090909092,-61.495998
0:2,14.119818181818182,-61.223999
0:2,14.120727272727274,-61.568001
0:2,14.121636363636364,-61.216
0:2,14.122545454545456,-60.863998
0:2,14.123454545454546,-61.532001
0:2,14.124363636363638,-61.612
0:2,14.125272727272728,-61.624001
0:2,14.12618181818182,-61.591999
0:2,14.12709090909091,-61.608002
0:2,14.128000000000002,-61.619999
0:2,14.128909090909092,-61.599998
0:2,14.129818181818182,-61.636002
0:2,14.130727272727274,-61.664001
0:2,14.131636363636364,-61.624001
0:2,14.132545454545456,-61.675999
0:2,14.133454545454546,-61.632
0:2,14.134363636363638,-61.655998
0:2,14.135272727272728,-61.571999
0:2,14.13618181818182,-61.584
0:2,14.13709090909091,-61.664001
0:2,14.138000000000002,-61.591999
0:2,14.138909090909092,-61.624001
0:2,14.139818181818184,-61.66
0:2,14.140727272727274,-61.624001
0:2,14.141636363636366,-61.655998
0:2,14.142545454545456,-61.647999
0:2,14.143454545454546,-61.655998
0:2,14.144363636363638,-61.612
0:2,14.145272727272728,-61.616001
0:2,14.14618181818182,-61.568001
0:2,14.14709090909091,-61.52
0:2,14.148000000000001,-61.507999
0:2,14.148909090909092,-61.551998
0:2,14.149818181818183,-61.495998
0:2,14.150727272727273,-61.504002
0:2,14.151636363636365,-61.484001
0:2,14.152545454545455,-61.439999
0:2,14.153454545454547,-61.383999
0:2,14.154363636363637,-61.492001
0:2,14.15527272727273,-61.484001
0:2,14.15618181818182,-61.472
0:2,14.15709090909091,-61.372002
0:2,14.158000000000001,-61.467999
0:2,14.158909090909091,-61.431999
0:2,14.159818181818183,-61.456001
0:2,14.160727272727273,-61.467999
0:2,14.161636363636365,-61.448002
0:2,14.162545454545455,-61.396
0:2,14.163454545454547,-61.400002
0:2,14.164363636363637,-61.459999
0:2,14.165272727272729,-61.464001
0:2,14.166181818181819,-61.400002
0:2,14.167090909090911,-61.456001
0:2,14.168000000000001,-61.492001
0:2,14.168909090909093,-61.452
0:2,14.169818181818183,-61.444
0:2,14.170727272727273,-61.456001
0:2,14.171636363636365,-61.448002
0:2,14.172545454545455,-61.523998
0:2,14.173454545454547,-61.535999
0:2,14.174363636363637,-61.548
0:2,14.175272727272729,-61.512001
0:2,14.176181818181819,-61.515999
0:2,14.17709090909091,-61.507999
0:2,14.178,-61.588001
0:2,14.178909090909093,-61.52
0:2,14.179818181818183,-61.563999
0:2,14.180727272727275,-61.512001
0:2,14.181636363636365,-61.535999
0:2,14.182545454545455,-61.619999
0:2,14.183454545454547,-61.560001
0:2,14.184363636363637,-61.571999
0:2,14.185272727272729,-61.627998
0:2,14.186181818181819,-61.66
0:2,14.18709090909091,-61.636002
0:2,14.188,-61.540001
0:2,14.188909090909092,-61.619999
0:2,14.189818181818183,-61.624001
0:2,14.190727272727274,-61.708
0:2,14.191636363636364,-61.608002
0:2,14.192545454545456,-61.66
0:2,14.193454545454546,-61.632
0:2,14.194363636363638,-61.619999
0:2,14.195272727272728,-61.667999
0:2,14.196181818181818,-61.647999
0:2,14.19709090909091,-61.604
0:2,14.198,-61.667999
0:2,14.198909090909092,-61.688
0:2,14.199818181818182,-61.636002
0:2,14.200727272727274,-61.692001
0:2,14.201636363636364,-61.655998
0:2,14.202545454545456,-61.604
0:2,14.203454545454546,-61.688
0:2,14.204363636363638,-61.675999
0:2,14.205272727272728,-61.672001
0:2,14.20618181818182,-61.720001
0:2,14.20709090909091,-61.764
0:2,14.208000000000002,-61.764
0:2,14.208909090909092,-61.664001
0:2,14.209818181818182,-61.751999
0:2,14.210727272727274,-61.712002
0:2,14.211636363636364,-61.768002
0:2,14.212545454545456,-61.827999
0:2,14.213454545454546,-61.824001
0:2,14.214363636363638,-61.812
0:2,14.215272727272728,-61.787998
0:2,14.21618181818182,-61.816002
0:2,14.21709090909091,-61.84
0:2,14.218000000000002,-61.716
0:2,14.218909090909092,-61.816002
0:2,14.219818181818184,-61.827999
0:2,14.220727272727274,-61.863998
0:2,14.221636363636364,-61.860001
0:2,14.222545454545456,-61.880001
0:2,14.223454545454546,-61.855999
0:2,14.224363636363638,-61.868
0:2,14.225272727272728,-61.816002
0:2,14.22618181818182,-61.855999
0:2,14.22709090909091,-61.807999
0:2,14.228000000000002,-61.827999
0:2,14.228909090909092,-61.883999
0:2,14.229818181818183,-61.872002
0:2,14.230727272727274,-61.888
0:2,14.231636363636365,-61.824001
0:2,14.232545454545455,-61.931999
0:2,14.233454545454547,-61.896
0:2,14.234363636363637,-61.928001
0:2,14.235272727272728,-61.868
0:2,14.23618181818182,-61.911999
0:2,14.23709090909091,-61.868
0:2,14.238000000000001,-61.883999
0:2,14.238909090909091,-61.872002
0:2,14.239818181818183,-61.792
0:2,14.240727272727273,-61.855999
0:2,14.241636363636365,-61.868
0:2,14.242545454545455,-61.812
0:2,14.243454545454547,-61.751999
0:2,14.244363636363637,-61.743999
0:2,14.245272727272729,-61.751999
0:2,14.24618181818182,-61.740002
0:2,14.247090909090911,-61.736
0:2,14.248000000000001,-61.748001
0:2,14.248909090909091,-61.736
0:2,14.249818181818183,-61.756001
0:2,14.250727272727273,-61.692001
0:2,14.251636363636365,-61.688
0:2,14.252545454545455,-61.728001
0:2,14.253454545454547,-61.703999
0:2,14.254363636363637,-61.708
0:2,14.255272727272729,-61.672001
0:2,14.256181818181819,-61.667999
0:2,14.25709090909091,-61.708
0:2,14.258000000000001,-61.68
0:2,14.258909090909093,-61.639999
0:2,14.259818181818183,-61.636002
0:2,14.260727272727275,-61.655998
0:2,14.261636363636365,-61.720001
0:2,14.262545454545455,-61.731998
0:2,14.263454545454547,-61.720001
0:2,14.264363636363637,-61.751999
0:2,14.265272727272729,-61.768002
0:2,14.266181818181819,-61.756001
0:2,14.26709090909091,-61.804001
0:2,14.268,-61.796001
0:2,14.268909090909093,-61.816002
0:2,14.269818181818183,-61.812
0:2,14.270727272727274,-61.852001
0:2,14.271636363636365,-61.832001
0:2,14.272545454545456,-61.868
0:2,14.273454545454547,-61.872002
0:2,14.274363636363638,-61.916
0:2,14.275272727272728,-61.972
0:2,14.276181818181819,-61.848
0:2,14.27709090909091,-61.952
0:2,14.278,-61.98
0:2,14.278909090909092,-62.004002
0:2,14.279818181818182,-61.995998
0:2,14.280727272727274,-62.035999
0:2,14.281636363636364,-62.048
0:2,14.282545454545456,-61.984001
0:2,14.283454545454546,-62.028
0:2,14.284363636363638,-62.007999
0:2,14.285272727272728,-62.040001
0:2,14.28618181818182,-62.035999
0:2,14.28709090909091,-62.071999
0:2,14.288,-62.071999
0:2,14.288909090909092,-62.091999
0:2,14.289818181818182,-62.080002
0:2,14.290727272727274,-62.096001
0:2,14.291636363636364,-62.060001
0:2,14.292545454545456,-62.060001
0:2,14.293454545454546,-62.043999
0:2,14.294363636363638,-62.088001
0:2,14.295272727272728,-62.084
0:2,14.29618181818182,-62.051998
0:2,14.29709090909091,-62.080002
0:2,14.298000000000002,-62.060001
0:2,14.298909090909092,-62.068001
0:2,14.299818181818184,-62.063999
0:2,14.300727272727274,-62.080002
0:2,14.301636363636364,-62.116001
0:2,14.302545454545456,-62.136002
0:2,14.303454545454546,-62.108002
0:2,14.304363636363638,-62.124001
0:2,14.305272727272728,-62.155998
0:2,14.30618181818182,-62.096001
0:2,14.30709090909091,-62.088001
0:2,14.308000000000002,-62.076
0:2,14.308909090909092,-62.127998
0:2,14.309818181818184,-62.104
0:2,14.310727272727274,-62.108002
0:2,14.311636363636365,-62.088001
0:2,14.312545454545456,-62.139999
0:2,14.313454545454547,-62.147999
0:2,14.314363636363638,-62.088001
0:2,14.315272727272728,-62.071999
0:2,14.31618181818182,-62.032001
0:2,14.31709090909091,-62.112
0:2,14.318000000000001,-62.136002
0:2,14.318909090909091,-62.119999
0:2,14.319818181818183,-62.139999
0:2,14.320727272727273,-62.116001
0:2,14.321636363636365,-62.088001
0:2,14.322545454545455,-62.18
0:2,14.323454545454547,-62.167999
0:2,14.324363636363637,-62.188
0:2,14.32527272727273,-62.056
0:2,14.32618181818182,-62.136002
0:2,14.32709090909091,-62.172001
0:2,14.328000000000001,-62.139999
0:2,14.328909090909091,-62.203999
0:2,14.329818181818183,-62.16
0:2,14.330727272727273,-62.164001
0:2,14.331636363636365,-62.139999
0:2,14.332545454545455,-62.116001
0:2,14.333454545454547,-62.152
0:2,14.334363636363637,-62.108002
0:2,14.335272727272729,-62.048
0:2,14.336181818181819,-62.127998
0:2,14.33709090909091,-62.096001
0:2,14.338000000000001,-62.124001
0:2,14.338909090909093,-62.088001
0:2,14.339818181818183,-62.035999
0:2,14.340727272727273,-62.108002
0:2,14.341636363636365,-62.132
0:2,14.342545454545455,-62.068001
0:2,14.343454545454547,-62.104
0:2,14.344363636363637,-62.104
0:2,14.345272727272729,-62.088001
0:2,14.346181818181819,-62.056
0:2,14.34709090909091,-62.060001
0:2,14.348,-62.104
0:2,14.348909090909093,-62.060001
0:2,14.349818181818183,-62.071999
0:2,14.350727272727275,-62.032001
0:2,14.351636363636365,-62.040001
0:2,14.352545454545456,-62.096001
0:2,14.353454545454547,-62.056
0:2,14.354363636363637,-62.007999
0:2,14.355272727272729,-62.068001
0:2,14.356181818181819,-62.060001
0:2,14.35709090909091,-62.076
0:2,14.358,-62.076
0:2,14.358909090909092,-62.099998
0:2,14.359818181818182,-62.012001
0:2,14.360727272727274,-62.096001
0:2,14.361636363636364,-62.132
0:2,14.362545454545456,-62.088001
0:2,14.363454545454546,-62.091999
0:2,14.364363636363638,-62.119999
0:2,14.365272727272728,-62.220001
0:2,14.366181818181818,-62.243999
0:2,14.36709090909091,-62.188
0:2,14.368,-62.172001
0:2,14.368909090909092,-62.195999
0:2,14.369818181818182,-62.299999
0:2,14.370727272727274,-62.307999
0:2,14.371636363636364,-62.264
0:2,14.372545454545456,-62.316002
0:2,14.373454545454546,-62.287998
0:2,14.374363636363638,-62.332001
0:2,14.375272727272728,-62.240002
0:2,14.37618181818182,-62.360001
0:2,14.37709090909091,-62.352001
0:2,14.378000000000002,-62.355999
0:2,14.378909090909092,-62.388
0:2,14.379818181818184,-62.411999
0:2,14.380727272727274,-62.424
0:2,14.381636363636364,-62.375999
0:2,14.382545454545456,-62.355999
0:2,14.383454545454546,-62.388
0:2,14.384363636363638,-62.348
0:2,14.385272727272728,-62.448002
0:2,14.38618181818182,-62.492001
0:2,14.38709090909091,-62.452
0:2,14.388000000000002,-62.487999
0:2,14.388909090909092,-62.495998
0:2,14.389818181818184,-62.444
0:2,14.390727272727274,-62.464001
0:2,14.391636363636366,-62.464001
0:2,14.392545454545456,-62.467999
0:2,14.393454545454546,-62.472
0:2,14.394363636363638,-62.431999
0:2,14.395272727272728,-62.459999
0:2,14.39618181818182,-62.487999
0:2,14.39709090909091,-62.48
0:2,14.398000000000001,-62.436001
0:2,14.398909090909092,-62.436001
0:2,14.399818181818183,-62.419998
0:2,14.400727272727273,-62.439999
0:2,14.401636363636365,-62.424
0:2,14.402545454545455,-62.411999
0:2,14.403454545454547,-62.372002
0:2,14.404363636363637,-62.400002
0:2,14.40527272727273,-62.403999
0:2,14.40618181818182,-62.411999
0:2,14.40709090909091,-62.396
0:2,14.408000000000001,-62.403999
0:2,14.408909090909091,-62.416
0:2,14.409818181818183,-62.476002
0:2,14.410727272727273,-62.456001
0:2,14.411636363636365,-62.400002
0:2,14.412545454545455,-62.428001
0:2,14.413454545454547,-62.472
