Time,Frequencies (GHz),Data (dBm)
0:5,13.998000000000001,-61.112
0:5,13.998909090909091,-60.708
0:5,13.999818181818183,-59.964001
0:5,14.000727272727273,-58.403999
0:5,14.001636363636365,-57.383999
0:5,14.002545454545455,-56.804001
0:5,14.003454545454547,-55.647999
0:5,14.004363636363637,-55.924
0:5,14.005272727272729,-56.756001
0:5,14.006181818181819,-56.584
0:5,14.00709090909091,-55.208
0:5,14.008000000000001,-54.584
0:5,14.008909090909093,-53.419998
0:5,14.009818181818183,-54.216
0:5,14.010727272727275,-55.612
0:5,14.011636363636365,-53.82
0:5,14.012545454545455,-53.616001
0:5,14.013454545454547,-54.236
0:5,14.014363636363637,-54.716
0:5,14.015272727272729,-54.964001
0:5,14.016181818181819,-55.911999
0:5,14.01709090909091,-56.944
0:5,14.018,-57.375999
0:5,14.018909090909093,-57.080002
0:5,14.019818181818183,-55.580002
0:5,14.020727272727274,-55.804001
0:5,14.021636363636365,-55.627998
0:5,14.022545454545456,-55.608002
0:5,14.023454545454547,-53.972
0:5,14.024363636363637,-52.952
0:5,14.025272727272728,-54.104
0:5,14.026181818181819,-55.883999
0:5,14.02709090909091,-55.82
0:5,14.028,-57.731998
0:5,14.028909090909092,-57.060001
0:5,14.029818181818182,-56.647999
0:5,14.030727272727274,-55.188
0:5,14.031636363636364,-54.987999
0:5,14.032545454545456,-53.428001
0:5,14.033454545454546,-56.060001
0:5,14.034363636363638,-56.327999
0:5,14.035272727272728,-54.167999
0:5,14.03618181818182,-57.040001
0:5,14.03709090909091,-53.464001
0:5,14.038,-54.312
0:5,14.038909090909092,-57.764
0:5,14.039818181818182,-57.924
0:5,14.040727272727274,-58.576
0:5,14.041636363636364,-60.875999
0:5,14.042545454545456,-61.439999
0:5,14.043454545454546,-61.355999
0:5,14.044363636363638,-61.119999
0:5,14.045272727272728,-61.088001
0:5,14.04618181818182,-61.183998
0:5,14.04709090909091,-60.883999
0:5,14.048000000000002,-60.327999
0:5,14.048909090909092,-60.396
0:5,14.049818181818184,-59.98
0:5,14.050727272727274,-60.183998
0:5,14.051636363636364,-60.852001
0:5,14.052545454545456,-60.919998
0:5,14.053454545454546,-61.276001
0:5,14.054363636363638,-61.335999
0:5,14.055272727272728,-61.028
0:5,14.05618181818182,-61.043999
0:5,14.05709090909091,-60.776001
0:5,14.058000000000002,-60.48
0:5,14.058909090909092,-60.172001
0:5,14.059818181818184,-60.888
0:5,14.060727272727274,-60.459999
0:5,14.061636363636365,-60.936001
0:5,14.062545454545456,-60.776001
0:5,14.063454545454547,-59.136002
0:5,14.064363636363638,-58.444
0:5,14.065272727272728,-57.251999
0:5,14.06618181818182,-56.487999
0:5,14.06709090909091,-56.523998
0:5,14.068000000000001,-56.208
